,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country,author_id,citation,google_scholar_link
856,Dawei Zhou,"UniMate: A Unified Model for Mechanical Metamaterial Generation, Property Prediction, and Condition Confirmation",MetaScientist: A Human-AI Synergistic Framework for Automated Mechanical Metamaterial Design,Virginia Tech,37.2219268,-80.4272818,Montgomery County,Blacksburg,Virginia,United States,8dakqOgAAAAJ,"arXiv preprint arXiv:2412.16270, 2024",https://scholar.google.com/citations?user=8dakqOgAAAAJ&hl=en
857,Muhao Chen,Two heads are better than one: Nested poe for robust defense against multi-backdoors,From shortcuts to triggers: Backdoor defense with denoised poe,"Assistant Professor of Computer Science, University of California, Davis",12.9822892,77.5962827,Bangalore North,Bengaluru,Karnataka,India,k79yEZkAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
858,Haodong Duan 段浩东,Vlmevalkit: An open-source toolkit for evaluating large multi-modality models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Shanghai AI Lab⬅️CUHK MMLAB⬅️PKU,38.4305296,27.136965,,İzmir,,Turkey,vi3W-m8AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=vi3W-m8AAAAJ&hl=en
859,Preethi P PESU RR CSE Staff,Enhancing Out of Vocabulary (OOV) Token representation with Aggregated Conditional Random Fields model for Kannada NER,Learning to generate representations for novel words: Mimic the OOV situation in training,Computer science,40.8089983,-73.9598785,New York County,New York,New York,United States,KqzXVaEAAAAJ,"Natural Language Processing and Chinese Computing: 9th CCF International …, 2020",https://scholar.google.com/citations?user=KqzXVaEAAAAJ&hl=en
860,Muhao Chen,Sudolm: Learning access control of parametric knowledge with authorization alignment,Mitigating backdoor threats to large language models: Advancement and challenges,Davis,40.7474784,-92.3965311,Davis County,,Iowa,United States,k79yEZkAAAAJ,"2024 60th Annual Allerton Conference on Communication, Control, and …, 2024",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
861,Mingyu Derek Ma,Instructions as backdoors: Backdoor vulnerabilities of instruction tuning for large language models,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,Genentech/Roche,30.5373581,114.361517,,Hongshan District,Hubei,China,6tXXg6AAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=6tXXg6AAAAAJ&hl=en
862,Boyuan Chen,Ai alignment: A comprehensive survey,The rise and potential of large language model based agents: A survey,Peking University,40.1733653,116.15722,,Changping District,Beijing,China,o23sDqkAAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=o23sDqkAAAAJ&hl=en
863,Shuai Zhao,A survey of backdoor attacks and defenses on large language models: Implications for security measures,From shortcuts to triggers: Backdoor defense with denoised poe,"Postdoctoral, Nanyang Technological University",-29.7451544,147.7685722,Walgett Shire Council,,New South Wales,Australia,upbsFBAAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=upbsFBAAAAAJ&hl=en
864,Xiao Wang,Navigating the overkill in large language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Zhipu AI,60.1862948,24.8299948,,Espoo,Uusimaa,Finland,sM2XqCAAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=sM2XqCAAAAAJ&hl=en
865,Shuo Chen,Benchmarking robustness of adaptation methods on pre-trained vision-language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Siemens,45.7918775,24.0933759,Sibiu,Sibiu,,Romania,BKvdGiwAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=BKvdGiwAAAAJ&hl=en
866,Wenjie Jacky Mo,Mitigating backdoor threats to large language models: Advancement and challenges,Two heads are better than one: Nested poe for robust defense against multi-backdoors,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,7hvu1ZQAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=7hvu1ZQAAAAJ&hl=en
867,Yulan He,Scireplicate-bench: Benchmarking llms in agent-driven algorithmic reproduction from research papers,Llms assist nlp researchers: Critique paper (meta-) reviewing,King's College London,51.5030855,-0.0900021,,London,England,United Kingdom,SP9r32UAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=SP9r32UAAAAJ&hl=en
868,Wenpeng Yin,Enhancing llm capabilities beyond scaling up,From shortcuts to triggers: Backdoor defense with denoised poe,Penn State University,40.8025835,-77.8559383,Centre County,Ferguson Township,Pennsylvania,United States,mRg16LkAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=mRg16LkAAAAJ&hl=en
869,Guangyi Lv,Evaluating and Improving Robustness in Large Language Models: A Survey and Future Directions,Plugat: A plug and play module to defend against textual adversarial attack,Technology of China,31.8403891,117.2501941,,Shushan District,Anhui,China,5_Gzq6wAAAAJ,"Proceedings of the 29th International Conference on Computational …, 2022",https://scholar.google.com/citations?user=5_Gzq6wAAAAJ&hl=en
870,Wenjie Jacky Mo,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,From shortcuts to triggers: Backdoor defense with denoised poe,"University of California, Davis",38.5337904,-121.7907544,Solano County,,California,United States,7hvu1ZQAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=7hvu1ZQAAAAJ&hl=en
871,Ayush Noori,Empowering biomedical discovery with AI agents,The rise and potential of large language model based agents: A survey,A.B./S.M.,-16.3293005,-71.5822781,,Cerro Colorado,Arequipa,Peru,TLyT0NwAAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=TLyT0NwAAAAJ&hl=en
872,Cristina Garbacea,Bonbon alignment for large language models and the sweetness of best-of-n sampling,Secrets of rlhf in large language models part i: Ppo,"PostDoctoral Scholar, University of Chicago",36.2292085,44.004198,,,,Iraq,302eGI0AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=302eGI0AAAAJ&hl=en
873,Lin Geng Foo,Towards more reliable confidence estimation,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,"Postdoctoral Researcher, Max-Planck Institute for Informatics",34.4221319,-119.702667,Santa Barbara County,Santa Barbara,California,United States,BDEOhasAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=BDEOhasAAAAJ&hl=en
874,David Mohaisen,"Robust natural language processing: Recent advances, challenges, and future directions",Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,"Professor of Computer Science, University of Central Florida",38.7525379,-9.1568456,Lisbon,Lisbon,,Portugal,q387AywAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=q387AywAAAAJ&hl=en
875,Jiashu Xu 徐家澍,Mitigating backdoor threats to large language models: Advancement and challenges,Two heads are better than one: Nested poe for robust defense against multi-backdoors,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States,0uYehJsAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=0uYehJsAAAAJ&hl=en
876,Sizhe Huang,SecFFT: Safeguarding Federated Fine-Tuning for Large Vision Language Models against Covert Backdoor Attacks in IoRT Networks,From shortcuts to triggers: Backdoor defense with denoised poe,Beijing University of Posts,39.9602269,116.3519331,,Haidian District,Beijing,China,4Ser-TcAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=4Ser-TcAAAAJ&hl=en
877,Yuqi Ren,Do Large Language Models Mirror Cognitive Language Processing?,Secrets of rlhf in large language models part i: Ppo,"PhD, Tianjin University",48.1764917,23.291166,,,,Ukraine,HGB93L4AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=HGB93L4AAAAJ&hl=en
878,Ping He,"Navigating the risks: A survey of security, privacy, and ethics threats in llm-based agents",Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China,yXfYUEEAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=yXfYUEEAAAAJ&hl=en
879,Jie Fu,A survey of backdoor attacks and defenses on large language models: Implications for security measures,From shortcuts to triggers: Backdoor defense with denoised poe,Shanghai AI Lab,42.35092,-71.0783603,Suffolk County,Boston,Massachusetts,United States,66osleIAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=66osleIAAAAJ&hl=en
880,Dongfu Jiang,Mantis: Interleaved multi-image instruction tuning,Muirbench: A comprehensive benchmark for robust multi-image understanding,University of Waterloo,43.4701994,-80.5452429,Region of Waterloo,Waterloo,Ontario,Canada,kciKEPUAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=kciKEPUAAAAJ&hl=en
881,Terry Tong,Mitigating backdoor threats to large language models: Advancement and challenges,Two heads are better than one: Nested poe for robust defense against multi-backdoors,Undergrad Researcher,38.5337904,-121.7907544,Solano County,,California,United States,UE4CnZcAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=UE4CnZcAAAAJ&hl=en
882,Zhibo Sun,"A survey on large language model (llm) security and privacy: The good, the bad, and the ugly",Test-time backdoor mitigation for black-box large language models with defensive demonstrations,Drexel University,39.9569305,-75.1899265,Philadelphia County,Philadelphia,Pennsylvania,United States,Y6FfNi0AAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=Y6FfNi0AAAAJ&hl=en
883,Kadriye Filiz Balbal,Improving Turkish text sentiment classification through task-specific and universal transformations: an ensemble data augmentation approach,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Dokuz Eylül Üniversitesi,38.4305296,27.136965,,İzmir,,Turkey,mC4vph0AAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=mC4vph0AAAAJ&hl=en
884,Christopher D Manning,Fine-tuning language models for factuality,Secrets of rlhf in large language models part i: Ppo,Linguistics,45.5036186,-73.5793941,Urban agglomeration of Montreal,Montreal,Quebec,Canada,1zmDOdwAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=1zmDOdwAAAAJ&hl=en
885,Soohyeon Choi,I can find you in seconds! leveraging large language models for code authorship attribution,Llms assist nlp researchers: Critique paper (meta-) reviewing,University of Central Florida,28.5989975,-81.197125,Orange County,Orlando,Florida,United States,xWQGkacAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=xWQGkacAAAAJ&hl=en
886,Feng Li,Llava-onevision: Easy visual task transfer,Muirbench: A comprehensive benchmark for robust multi-image understanding,"PhD student, Hong Kong University of Science and Technology",32.0565957,118.7740883,,Gulou District,Jiangsu,China,ybRe9GcAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=ybRe9GcAAAAJ&hl=en
887,Manli Shu,xgen-mm (blip-3): A family of open large multimodal models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Google DeepMind,40.430028,-86.9264211,Tippecanoe County,,Indiana,United States,WPYkxjgAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=WPYkxjgAAAAJ&hl=en
888,Miao Yu,"A comprehensive survey in llm (-agent) full stack safety: Data, training and deployment",Unraveling and mitigating safety alignment degradation of vision-language models,University of Science,42.0279608,-93.6447375,Story County,Ames,Iowa,United States,ajhKD2MAAAAJ,"arXiv preprint arXiv:2410.09047, 2024",https://scholar.google.com/citations?user=ajhKD2MAAAAJ&hl=en
889,Yunpu Ma,Benchmarking robustness of adaptation methods on pre-trained vision-language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Ludwig Maximilian University of Munich,48.1504757,11.5798356,,Munich,Bavaria,Germany,fj5DzgcAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=fj5DzgcAAAAJ&hl=en
890,Deyi Xiong,Do Large Language Models Mirror Cognitive Language Processing?,Secrets of rlhf in large language models part i: Ppo,College of Intelligence,31.4269077,31.6505331,,New Damietta,Damietta,Egypt,QPLO3myO5PkC,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=QPLO3myO5PkC&hl=en
891,Liang Pang,"A comprehensive survey in llm (-agent) full stack safety: Data, training and deployment",Unraveling and mitigating safety alignment degradation of vision-language models,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China,1dgQHBkAAAAJ,"arXiv preprint arXiv:2410.09047, 2024",https://scholar.google.com/citations?user=1dgQHBkAAAAJ&hl=en
892,Jiacheng Liang,Robustifying Vision-Language Models via Dynamic Token Reweighting,Unraveling and mitigating safety alignment degradation of vision-language models,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States,Qsp7ts0AAAAJ,"arXiv preprint arXiv:2410.09047, 2024",https://scholar.google.com/citations?user=Qsp7ts0AAAAJ&hl=en
893,Dongfang Li,Improving attributed text generation of large language models via preference learning,Secrets of rlhf in large language models part i: Ppo,"Harbin Institute of Technology, Shenzhen",22.5895016,113.9657105,,Nanshan District,Guangdong Province,China,_OOzj40AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=_OOzj40AAAAJ&hl=en
894,Muhao Chen,Is Extending Modality The Right Path Towards Omni-Modality?,Unraveling cross-modality knowledge conflicts in large vision-language models,Davis,40.7474784,-92.3965311,Davis County,,Iowa,United States,k79yEZkAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
895,Jingyang Zhang,Generalized out-of-distribution detection and beyond in vision language model era: A survey,Muirbench: A comprehensive benchmark for robust multi-image understanding,ECE Ph.D. @ Duke University,39.9093367,116.3297146,,Beijing,Beijing,China,f3DQwmgAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=f3DQwmgAAAAJ&hl=en
896,Royal Pathak,"Risks, causes, and mitigations of widespread deployments of large language models (llms): A survey",Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,Research Assistant for AI-based Security (AIbS) Lab at Boise State University,40.908482,-73.1325471,Suffolk County,,New York,United States,Zhr2VYcAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=Zhr2VYcAAAAJ&hl=en
897,Yuan Wu,A survey on evaluation of large language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Jilin University,43.880146,125.301151,,Changchun City,Jilin,China,KVeRu2QAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=KVeRu2QAAAAJ&hl=en
898,Liangbo Ning,Retrieval-Augmented Purifier for Robust LLM-Empowered Recommendation,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,"Department of Computing, The Hong Kong Polytechnic University",55.6801502,12.572327,,Copenhagen,Capital Region of Denmark,Denmark,z2PpO8MAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=z2PpO8MAAAAJ&hl=en
899,Zhengzhong Tu,Unraveling cross-modality knowledge conflicts in large vision-language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,"Texas A&M University, Google Research, University of Texas at Austin",33.8004546,-84.3172378,DeKalb County,,Georgia,United States,9ajdZaEAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=9ajdZaEAAAAJ&hl=en
900,Ming-Ching Chang 張明清,Sharpness-Aware Geometric Defense for Robust Out-Of-Distribution Detection,Detecting adversarial samples through sharpness of loss landscape,University at Albany - SUNY,41.8755616,-87.6244212,Cook County,Chicago,Illinois,United States,a3-Gl8YAAAAJ,"Findings of the Association for Computational Linguistics: ACL 2023, 11282-11298, 2023",https://scholar.google.com/citations?user=a3-Gl8YAAAAJ&hl=en
901,Rui Zheng,Efficient adversarial training with robust early-bird tickets,Plugat: A plug and play module to defend against textual adversarial attack,Fudan University,31.3011648,121.4980876,,Yangpu District,,China,7Z0V_SoAAAAJ,"Proceedings of the 29th International Conference on Computational …, 2022",https://scholar.google.com/citations?user=7Z0V_SoAAAAJ&hl=en
902,Jinguo Zhu,Internvl3: Exploring advanced training and test-time recipes for open-source multimodal models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Xi'an Jiaotong University,34.2476753,108.9789725,,Beilin District,Shaanxi,China,YfHg5lQAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=YfHg5lQAAAAJ&hl=en
903,Lujia Shen,Improving the robustness of transformer-based large language models with dynamic attention,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,Zhejiang Universiry,39.101985,117.1609501,,Nankai District,Tianjin,China,I8_wt_QAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=I8_wt_QAAAAJ&hl=en
904,Renrui Zhang,Llava-onevision: Easy visual task transfer,Muirbench: A comprehensive benchmark for robust multi-image understanding,MMLab CUHK & Peking University,48.2654975,11.6692249,Landkreis München,,Bavaria,Germany,YlL3xN4AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=YlL3xN4AAAAJ&hl=en
905,Yanwei Li,"Mme-cot: Benchmarking chain-of-thought in large multimodal models for reasoning quality, robustness, and efficiency",Muirbench: A comprehensive benchmark for robust multi-image understanding,"Research Scientist, ByteDance",51.6090791,-3.9831441,Swansea,Swansea,Wales,United Kingdom,I-UCPPcAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=I-UCPPcAAAAJ&hl=en
906,Zhenyu Liu,Improving attributed text generation of large language models via preference learning,Secrets of rlhf in large language models part i: Ppo,"Harbin Institute of Technology, Shenzhen",22.5895016,113.9657105,,Nanshan District,Guangdong Province,China,UOgn85MAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=UOgn85MAAAAJ&hl=en
907,Jiashu Xu 徐家澍,Mitigating backdoor threats to large language models: Advancement and challenges,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States,0uYehJsAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=0uYehJsAAAAJ&hl=en
908,Chuan-Sheng Foo,Semrode: Macro adversarial training to learn representations that are robust to word-level attacks,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,A*STAR Centre for Frontier AI Research,22.3358031,114.2659088,,Sai Kung District,Hong Kong,China,AgbeqGkAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=AgbeqGkAAAAJ&hl=en
909,Erfei Cui,"Expanding performance boundaries of open-source multimodal models with model, data, and test-time scaling",Muirbench: A comprehensive benchmark for robust multi-image understanding,Shanghai AI Laboratory,42.2942142,-83.7100389,Washtenaw County,Ann Arbor,Michigan,United States,MRTB_-wAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=MRTB_-wAAAAJ&hl=en
910,Yuexiang Xie,When to trust llms: Aligning confidence with response quality,Secrets of rlhf in large language models part i: Ppo,Alibaba Group,30.1918037,120.185449,,Binjiang District,Zhejiang,China,fhWk0gEAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=fhWk0gEAAAAJ&hl=en
911,Yiming Li,BadActs: A universal backdoor defense in the activation space,From shortcuts to triggers: Backdoor defense with denoised poe,Nanyang Technological University,1.3484104,103.6829332,,Singapore,,Singapore,mSW7kU8AAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=mSW7kU8AAAAJ&hl=en
912,Yihang Sun,Grapheval: A lightweight graph-based llm framework for idea evaluation,Llms assist nlp researchers: Critique paper (meta-) reviewing,Peking University,40.1733653,116.15722,,Changping District,Beijing,China,bRpZ3LAAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=bRpZ3LAAAAAJ&hl=en
913,Sagar Samtani,Additive feature attribution explainable methods to craft adversarial attacks for text classification and text regression,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,IU Kelley's Data Science,17.547185,78.572791,Kapra mandal,,Telangana,India,jdFquF4AAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=jdFquF4AAAAJ&hl=en
914,Zhongliang Guo,A survey of backdoor attacks and defenses on large language models: Implications for security measures,From shortcuts to triggers: Backdoor defense with denoised poe,University of St Andrews,56.3398198,-2.8117937,Fife,,Scotland,United Kingdom,LCe4PLcAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=LCe4PLcAAAAJ&hl=en
915,Yiqiao Jin,Agentreview: Exploring peer review dynamics with llm agents,Llms assist nlp researchers: Critique paper (meta-) reviewing,Georgia Institute of Technology,33.7760948,-84.3988077,Fulton County,Atlanta,Georgia,United States,eY85qm4AAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=eY85qm4AAAAJ&hl=en
916,Preethi P PESU RR CSE Staff,Enhancing Out of Vocabulary (OOV) Token representation with Aggregated Conditional Random Fields model for Kannada NER,Learning to generate representations for novel words: Mimic the OOV situation in training,Engineering,-20.2790262,57.4902447,,,Plaines Wilhems,Mauritius,KqzXVaEAAAAJ,"Natural Language Processing and Chinese Computing: 9th CCF International …, 2020",https://scholar.google.com/citations?user=KqzXVaEAAAAJ&hl=en
917,Aytuğ ONAN,Improving Turkish text sentiment classification through task-specific and universal transformations: an ensemble data augmentation approach,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Bilgisayar Mühendisliği Bölümü,38.4579195,27.2130928,,,,Turkey,cdUqOj0AAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=cdUqOj0AAAAJ&hl=en
918,Haw-Shiuan Chang,Multi-CLS BERT: An efficient alternative to traditional ensembling,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,UMass Amherst,42.3868955,-72.5299842,Hampshire County,,Massachusetts,United States,fdGXVd4AAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=fdGXVd4AAAAJ&hl=en
919,"Kailin Jiang , 蒋凯林",Benchmarking Multimodal Knowledge Conflict for Large Multimodal Models,Unraveling cross-modality knowledge conflicts in large vision-language models,BIGAI & USTC,38.0407858,-78.5075486,Albemarle County,,Virginia,United States,NSHQsrAAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=NSHQsrAAAAAJ&hl=en
920,Yuan Wu,A survey on evaluation of large language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Carleton,46.3940835,-67.491134,District of Carleton North,Peel Parish,New Brunswick,Canada,KVeRu2QAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=KVeRu2QAAAAJ&hl=en
921,Jindong Wang,A survey on evaluation of large language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Microsoft Research,52.1949515,0.1350108,Cambridgeshire,Cambridge,England,United Kingdom,hBZ_tKsAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=hBZ_tKsAAAAJ&hl=en
922,Lichang Chen,Odin: Disentangled reward mitigates hacking in rlhf,Secrets of rlhf in large language models part i: Ppo,University of Maryland,48.0989816,11.5823489,,Munich,Bavaria,Germany,XesgJyUAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=XesgJyUAAAAJ&hl=en
923,Wenhao Yu,Bigcodebench: Benchmarking code generation with diverse function calls and complex instructions,The rise and potential of large language model based agents: A survey,"Researcher, Tencent AI (Seattle)",52.419561,9.6242997,Region Hannover,Hanover,Lower Saxony,Germany,z4qSdX8AAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=z4qSdX8AAAAJ&hl=en
924,Xiaohe Bo,A survey on the memory mechanism of large language model based agents,The rise and potential of large language model based agents: A survey,Renmin University of China,39.9695397,116.3071291,,Haidian District,Beijing,China,jGxytu8AAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=jGxytu8AAAAJ&hl=en
925,Ben Zhou,Enhancing llm capabilities beyond scaling up,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,Arizona State University,33.4213174,-111.9331631,Maricopa County,Tempe,Arizona,United States,sO2ro4kAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=sO2ro4kAAAAJ&hl=en
926,Yue Cao,Enhancing the reasoning ability of multimodal large language models via mixed preference optimization,Secrets of rlhf in large language models part i: Ppo,Nanjing University,32.0565957,118.7740883,,Gulou District,Jiangsu,China,eDa196cAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=eDa196cAAAAJ&hl=en
927,Yueqi Wang,Re-Align: Aligning Vision Language Models via Retrieval-Augmented Direct Preference Optimization,Unraveling cross-modality knowledge conflicts in large vision-language models,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,-_5duZMAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=-_5duZMAAAAJ&hl=en
928,Ben He,Towards Robust Dense Retrieval via Local Ranking Alignment.,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,University of Chinese Academy of Sciences,39.907697,116.2440577,,Shijingshan District,Beijing,China,EmTFUdQAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=EmTFUdQAAAAJ&hl=en
929,Yiwen Ding,The rise and potential of large language model based agents: A survey,Secrets of rlhf in large language models part i: Ppo,Fudan University,31.3011648,121.4980876,,Yangpu District,,China,_HAn3qIAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=_HAn3qIAAAAJ&hl=en
930,Ting Liu,Reviewagents: Bridging the gap between human and ai-generated paper reviews,Llms assist nlp researchers: Critique paper (meta-) reviewing,Shanghai Jiao Tong University,31.2008911,121.4283949,,Xuhui District,,China,_PdbsmAAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=_PdbsmAAAAAJ&hl=en
931,Lin Gui,Bonbon alignment for large language models and the sweetness of best-of-n sampling,Secrets of rlhf in large language models part i: Ppo,"Department of Statistics, The University of Chicago",36.9920463,121.9298325,,Wendeng District,Shandong,China,88eaL8UAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=88eaL8UAAAAJ&hl=en
932,Muhao Chen,Combating security and privacy issues in the era of large language models,Two heads are better than one: Nested poe for robust defense against multi-backdoors,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,k79yEZkAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
